VIN_1_10,County,City,State,Postal_Code,Model_Year,Make,Model,Electric_Vehicle_Type,Electric_Range,Base_MSRP,Legislative_District,DOL_Vehicle_ID,Electric_Utility
1G1RH6E47D,thurston,olympia,WA,98516,2013,chevrolet,volt,plug-in hybrid electric vehicle (phev),38,0,22,263340724,PUGET SOUND ENERGY INC
1G1FW6S06H,thurston,yelm,WA,98597,2017,chevrolet,bolt ev,battery electric vehicle (bev),238,0,2,141295157,PUGET SOUND ENERGY INC
KNDCD3LD2N,thurston,olympia,WA,98513,2022,kia,niro,plug-in hybrid electric vehicle (phev),26,0,2,180046744,PUGET SOUND ENERGY INC
5YJSA1DP6D,snohomish,edmonds,WA,98020,2013,tesla,model s,battery electric vehicle (bev),208,69900,21,5214422,PUGET SOUND ENERGY INC
WVWKR7AUXK,snohomish,snohomish,WA,98296,2019,volkswagen,e-golf,battery electric vehicle (bev),125,0,1,229915150,PUGET SOUND ENERGY INC
1FADP5CU1G,kitsap,bremerton,WA,98312,2016,ford,c-max,plug-in hybrid electric vehicle (phev),19,0,35,139782765,PUGET SOUND ENERGY INC
JM3KKEHA2R,thurston,olympia,WA,98513,2024,mazda,cx-90,plug-in hybrid electric vehicle (phev),26,0,2,266807649,PUGET SOUND ENERGY INC
5YJYGDEE6L,thurston,olympia,WA,98502,2020,tesla,model y,battery electric vehicle (bev),291,0,22,124741795,PUGET SOUND ENERGY INC
3FA6P0PU9F,thurston,lacey,WA,98503,2015,ford,fusion,plug-in hybrid electric vehicle (phev),19,0,22,123783383,PUGET SOUND ENERGY INC
JTDKARFPXH,kitsap,kingston,WA,98346,2017,toyota,prius prime,plug-in hybrid electric vehicle (phev),25,0,23,207330084,PUGET SOUND ENERGY INC
YV4H60DL2N,thurston,olympia,WA,98502,2022,volvo,xc60,plug-in hybrid electric vehicle (phev),35,0,22,258246019,PUGET SOUND ENERGY INC
JA4J24A58J,kitsap,poulsbo,WA,98370,2018,mitsubishi,outlander,plug-in hybrid electric vehicle (phev),22,0,23,122317702,PUGET SOUND ENERGY INC
5YJXCAE28H,kitsap,silverdale,WA,98383,2017,tesla,model x,battery electric vehicle (bev),200,0,23,139421208,PUGET SOUND ENERGY INC
JTDKARFP6H,thurston,olympia,WA,98506,2017,toyota,prius prime,plug-in hybrid electric vehicle (phev),25,0,22,183937449,PUGET SOUND ENERGY INC
1N4AZ0CP9F,snohomish,everett,WA,98204,2015,nissan,leaf,battery electric vehicle (bev),84,0,21,155051431,PUGET SOUND ENERGY INC
5YJSA1CN3D,island,oak harbor,WA,98277,2013,tesla,model s,battery electric vehicle (bev),208,69900,10,219722086,PUGET SOUND ENERGY INC
5YJ3E1EB5L,yakima,yakima,WA,98901,2020,tesla,model 3,battery electric vehicle (bev),322,0,15,237967131,PACIFICORP
5YJ3E1EB3K,yakima,yakima,WA,98908,2019,tesla,model 3,battery electric vehicle (bev),220,0,14,292800504,PACIFICORP
1N4AZ0CP5D,snohomish,everett,WA,98208,2013,nissan,leaf,battery electric vehicle (bev),75,0,21,150353780,PUGET SOUND ENERGY INC
5YJSA1E21K,island,oak harbor,WA,98277,2019,tesla,model s,battery electric vehicle (bev),270,0,10,285986662,PUGET SOUND ENERGY INC
5YJSA1E20F,yakima,yakima,WA,98903,2015,tesla,model s,battery electric vehicle (bev),208,0,14,233774187,PACIFICORP
YV4BR0PL0J,snohomish,mill creek,WA,98012,2018,volvo,xc90,plug-in hybrid electric vehicle (phev),19,64950,44,349884027,PUGET SOUND ENERGY INC
SADHC2S18L,kitsap,bremerton,WA,98312,2020,jaguar,i-pace,battery electric vehicle (bev),234,0,35,124697170,PUGET SOUND ENERGY INC
YV4H60DJ3R,kitsap,port orchard,WA,98367,2024,volvo,xc60,plug-in hybrid electric vehicle (phev),35,0,26,268882925,PUGET SOUND ENERGY INC
5YJ3E1EC7L,snohomish,snohomish,WA,98296,2020,tesla,model 3,battery electric vehicle (bev),308,0,1,117959537,PUGET SOUND ENERGY INC
1N4AZ1CP3K,snohomish,bothell,WA,98021,2019,nissan,leaf,battery electric vehicle (bev),150,0,1,101104097,PUGET SOUND ENERGY INC
5YJ3E1EB9K,grant,moses lake,WA,98837,2019,tesla,model 3,battery electric vehicle (bev),220,0,13,475095953,PUD NO 2 OF GRANT COUNTY
1G1RD6E46D,whitman,pullman,WA,99163,2013,chevrolet,volt,plug-in hybrid electric vehicle (phev),38,0,9,174517626,AVISTA CORP
1G1FX6S04H,skagit,mount vernon,WA,98273,2017,chevrolet,bolt ev,battery electric vehicle (bev),238,0,10,122319193,PUGET SOUND ENERGY INC
1N4AZ1CP9J,thurston,olympia,WA,98501,2018,nissan,leaf,battery electric vehicle (bev),151,0,22,145420789,PUGET SOUND ENERGY INC
5YJ3E1ECXL,snohomish,bothell,WA,98021,2020,tesla,model 3,battery electric vehicle (bev),308,0,1,107333040,PUGET SOUND ENERGY INC
1FADP5CU8D,island,clinton,WA,98236,2013,ford,c-max,plug-in hybrid electric vehicle (phev),19,0,10,252222806,PUGET SOUND ENERGY INC
JTDKN3DP9C,stevens,valley,WA,99181,2012,toyota,prius plug-in,plug-in hybrid electric vehicle (phev),6,0,7,7011994,AVISTA CORP
5YJSA1H12E,snohomish,snohomish,WA,98290,2014,tesla,model s,battery electric vehicle (bev),208,69900,44,239825239,PUGET SOUND ENERGY INC
1N4AZ0CP2F,snohomish,edmonds,WA,98020,2015,nissan,leaf,battery electric vehicle (bev),84,0,32,243150876,PUGET SOUND ENERGY INC
JN1AZ0CP3B,skagit,anacortes,WA,98221,2011,nissan,leaf,battery electric vehicle (bev),73,0,40,170916406,PUGET SOUND ENERGY INC
5YJ3E1EA3K,snohomish,lynnwood,WA,98087,2019,tesla,model 3,battery electric vehicle (bev),220,0,21,219724739,PUGET SOUND ENERGY INC
5YJSA1E21G,snohomish,edmonds,WA,98026,2016,tesla,model s,battery electric vehicle (bev),210,0,21,180491174,PUGET SOUND ENERGY INC
5YJ3E1EA8J,skagit,sedro-woolley,WA,98284,2018,tesla,model 3,battery electric vehicle (bev),215,0,39,180847271,PUGET SOUND ENERGY INC
5YJ3E1EA0K,whatcom,lummi island,WA,98262,2019,tesla,model 3,battery electric vehicle (bev),220,0,42,476464523,PUD NO 1 OF WHATCOM COUNTY
